nateam,birth_date,birth_country_isoCode,birth_country,player_name,player_id,normal_position
portugal,1994-08-10,pt,portugal,bernardo silva,5067,m
england,2000-05-28,gb-eng,england,phil foden,14805,m
brazil,1991-07-15,br,brazil,danilo,5328,d
germany,1993-03-03,de,germany,antonio rüdiger,16801,d
england,1999-07-05,sl,sierra leone,trevoh chalobah,14575,d
italy,1994-08-03,br,brazil,emerson,16803,d
spain,1992-10-23,es,spain,álvaro morata,5804,f
italy,1992-06-11,it,italy,davide zappacosta,25313,d
wales,2000-09-14,gb-eng,england,ethan ampadu,19731,d
egypt,1991-01-25,eg,egypt,ahmed hegazi,6609,d
poland,1990-01-29,pl,poland,grzegorz krychowiak,12735,m
scotland,1997-04-07,gb-sct,scotland,oliver burke,10596,m
spain,1996-06-22,es,spain,mikel merino,19778,m
france,1991-05-20,fr,france,florian lejeune,16607,d
spain,1985-04-10,es,spain,jesús gámez,11070,d
england,1995-02-24,gb-eng,england,jacob murphy,9662,m
slovakia,1989-01-15,sk,slovakia,martin dúbravka,6451,g
netherlands,1994-03-06,nl,netherlands,wesley hoedt,6194,d
gabon,1993-09-01,ga,gabon,mario lemina,5583,m
argentina,1991-05-25,ar,argentina,guido carrillo,15989,f
poland,1996-04-12,pl,poland,jan bednarek,19589,d
croatia,1997-10-04,hr,croatia,nikola vlasic,25312,f
france,1994-08-17,fr,france,tiemoué bakayoko,11260,m
united states,1997-12-12,us,united states,kyle scott,14578,m
belgium,1996-10-15,be,belgium,charly musonda,11147,m
spain,1988-01-16,es,spain,vicente iborra,7234,m
norway,1995-12-05,no,norway,alexander sørloth,15685,f
netherlands,1996-09-09,nl,netherlands,jairo riedewald,4878,m
sweden,1996-02-13,se,sweden,erdal rakip,11241,m
poland,1994-02-17,pl,poland,jaroslaw jach,33056,d
sweden,1994-07-17,se,sweden,victor lindelöf,5066,d
brazil,1997-05-10,br,brazil,richarlison,24630,f
peru,1991-06-14,pe,peru,andré carrillo,11366,m
netherlands,1990-08-12,nl,netherlands,marvin zeegelaar,10123,d
mali,1991-02-21,fr,france,molla wagué,21730,d
greece,1985-07-11,gr,greece,orestis karnezis,25311,g
colombia,1996-06-12,co,colombia,davinson sánchez,20224,d
,1992-12-24,côte d'ivoire,,serge aurier,11293,d
england,1998-10-02,gb-eng,england,alfie whiteman,15111,g
argentina,1998-01-12,ar,argentina,juan foyth,25309,d
wales,1997-03-24,gb-eng,england,george thomas,8451,f
austria,1991-03-06,at,austria,aleksandar dragovic,6362,d
france,1994-07-17,fr,france,benjamin mendy,5575,d
germany,1990-04-29,de,germany,christopher schindler,19607,d
kosovo,1994-07-31,ch,switzerland,florent hadergjonaj,12173,d
germany,1989-04-16,de,germany,chris löwe,19608,d
england,1992-04-14,gb-eng,england,tommy smith,8878,d
australia,1990-09-15,au,australia,aaron mooy,19619,m
benin,1994-09-29,bj,benin,steve mounie,22570,f
denmark,1990-04-23,dk,denmark,zanka,7103,d
netherlands,1994-02-14,ch,switzerland,terence kongolo,12359,d
denmark,1989-02-01,dk,denmark,jonas lössl,12444,g
belgium,1988-12-07,be,belgium,laurent depoitre,16747,f
slovenia,1996-01-14,si,slovenia,jon gorenc stankovic,11134,d
england,1995-09-26,gb-eng,england,joel coleman,9293,g
denmark,1996-06-11,dk,denmark,philip billing,8882,m
germany,1991-06-18,de,germany,collin quaner,21677,f
england,1991-03-25,gb-eng,england,scott malone,3995,d
netherlands,1991-06-04,nl,netherlands,rajiv van la parra,10964,m
,1998-09-17,be,belgium,jason lokilo,14168,m
,1992-04-22,de,germany,elias kachunga,19611,f
united states,1989-03-08,de,germany,danny williams,9473,m
germany,1990-09-01,de,germany,michael hefele,19609,d
germany,1996-11-28,ma,morocco,abdelhamid sabiri,22591,m
turkey,1991-06-07,de,germany,cenk tosun,12114,f
,1998-09-09,congo dr,,beni baningime,14623,m
england,1995-04-17,gb-eng,england,will hughes,8589,m
spain,1991-02-02,es,spain,kiko femenía,22546,d
israel,1988-05-02,il,israel,beram kayal,5156,m
argentina,1989-05-23,ar,argentina,ezequiel schelotto,16234,d
netherlands,1993-11-07,nl,netherlands,jürgen locadia,7124,f
cameroon,1988-04-25,cm,cameroon,gaëtan bong,5721,d
england,1989-06-12,gb-eng,england,dale stephens,8168,m
netherlands,1991-09-02,nl,netherlands,davy pröpper,16790,m
england,1991-11-21,gb-eng,england,lewis dunk,8163,d
england,1994-07-20,gb-eng,england,solly march,8171,m
australia,1992-04-08,au,australia,mat ryan,12192,g
germany,1991-06-15,de,germany,pascal groß,22542,m
england,1992-12-18,gb-eng,england,connor goldson,9634,d
spain,1980-10-01,es,spain,bruno,8162,d
austria,1987-04-16,at,austria,markus suttner,5428,d
spain,1995-07-09,es,spain,sandro ramírez,11074,f
cameroon,1989-03-23,de,germany,eric maxim choupo-moting,11191,m
spain,1993-02-26,es,spain,jesé,5803,f
austria,1992-01-25,ch,switzerland,moritz bauer,32838,d
senegal,1990-10-27,sn,senegal,badou ndiaye,20538,m
denmark,1999-10-21,dk,denmark,lasse sørensen,15045,m
england,1999-12-28,gb-eng,england,tyrese campbell,14804,f
portugal,1997-08-18,pt,portugal,renato sanches,16646,m
england,1997-10-01,gb-eng,england,hamza choudhury,13248,m
portugal,1989-03-15,fr,france,adrien silva,11357,m
mali,1995-10-18,fr,france,fousseni diabaté,32936,f
england,1997-12-09,gb-eng,england,harvey barnes,14716,m
,1993-06-20,de,germany,sead kolasinac,5368,d
gabon,1989-06-18,fr,france,pierre-emerick aubameyang,5110,f
greece,1997-12-11,gr,greece,konstantinos mavropanos,32638,d
england,1998-10-02,gb-eng,england,jordi osei-tutu,14436,d
england,1999-08-20,gb-eng,england,joseph willock,14446,m
england,1999-12-10,gb-eng,england,reiss nelson,14450,f
england,1999-05-30,gb-eng,england,eddie nketiah,14451,f
ireland,2000-07-06,ie,ireland,michael obafemi,21532,f
spain,1989-06-07,es,spain,roque mesa,22575,m
france,1991-05-28,fr,france,alexandre lacazette,6899,f
bermuda,1990-06-01,bm,bermuda,nahki wells,8889,f
england,1993-09-18,gb-eng,england,charlie taylor,8691,d
england,1992-08-25,gb-eng,england,joe lolley,8888,f
australia,1998-10-22,au,australia,harry souttar,21809,d
spain,1997-06-30,es,spain,toni martínez,19681,f
montenegro,1999-05-04,se,sweden,sead haksabanovic,24839,m
egypt,1989-01-01,eg,egypt,ali gabr,33112,d
netherlands,1993-02-21,nl,netherlands,davy klaassen,4886,m
england,1996-12-18,gb-eng,england,jack simpson,13193,d
israel,1987-05-02,il,israel,tomer hemed,13234,f
colombia,1992-07-07,co,colombia,josé izquierdo,12212,f
belgium,1997-09-24,be,belgium,dodi lukébakio,16088,m
england,1999-07-03,gb-eng,england,joy mukena,15118,d
england,2000-11-07,gb-eng,england,callum hudson-odoi,23702,m
england,1997-09-12,gb-eng,england,dion henry,10855,g
england,1999-05-26,gb-eng,england,kyle taylor,24214,m
united states,1996-04-09,us,united states,emerson hyndman,10734,m
england,1997-02-12,gb-eng,england,connor mahoney,7985,m
england,1989-03-15,gb-eng,england,sam baldock,4711,f
brazil,1992-08-13,br,brazil,lucas moura,5762,f
scotland,1989-08-28,gb-sct,scotland,jamie murphy,9581,m
,1992-03-12,czech republic,,jiri skalak,13232,m
germany,1986-01-09,de,germany,uwe hünemeier,13229,d
finland,1985-01-23,fi,finland,niki mäenpää,13228,g
netherlands,1989-03-03,nl,netherlands,erwin mulder,12356,g
portugal,1993-01-19,pt,portugal,joão mário,11355,m
england,1992-06-04,gb-eng,england,jordan hugill,9417,f
england,2001-01-20,gb-eng,england,rayhaan tulloch,20941,m
ireland,1998-09-08,ie,ireland,conor masterson,13508,d
england,2001-01-30,gb-eng,england,curtis jones,23815,m
portugal,2000-05-22,pt,portugal,rafael camacho,23820,m
greece,1993-12-02,gr,greece,konstantinos stafylidis,4988,d
wales,1997-10-22,gb-wls,wales,joe rodon,13796,d
england,1998-11-21,bm,bermuda,nathan trott,20051,g
germany,1998-12-14,de,germany,lukas nmecha,14807,f
spain,1999-08-03,es,spain,brahim díaz,14800,f
england,2000-10-06,gb-eng,england,nathan ferguson,23976,d
england,2000-01-31,gb-eng,england,nya kirby,15134,m
england,1986-11-28,gb-eng,england,adam legzdins,2852,g
england,1999-10-24,gb-eng,england,dujon sterling,14572,m
england,1998-11-09,gb-eng,england,kazaiah sterling,15137,f
england,1998-09-05,gb-eng,england,levi lumeka,14170,f
england,1997-11-01,gb-eng,england,josh pask,13962,d
england,1998-04-19,gb-eng,england,grady diangana,15199,m
england,1997-04-15,gb-eng,england,sam hughes,24625,d
england,1998-10-24,gb-eng,england,max melbourne,15160,d
england,2000-01-24,gb-eng,england,ben johnson,15212,d
england,1998-09-11,gb-eng,england,kyle jameson,21886,d
england,2000-02-14,gb-eng,england,tashan oakley-boothe,15140,m
ireland,1999-08-06,ie,ireland,jayson molumby,15293,m
england,2000-01-12,gb-eng,england,james daly,24679,f
england,1998-09-07,gb-eng,england,layton ndukwu,14712,d
england,1999-11-22,gb-eng,england,dwight mcneil,24797,m
japan,1992-07-15,jp,japan,yoshinori muto,20196,f
france,1999-04-14,fr,france,matteo guendouzi,50512,m
greece,1988-06-09,gr,greece,sokratis papastathopoulos,5093,d
uruguay,1996-02-11,uy,uruguay,lucas torreira,23033,m
switzerland,1984-01-16,ch,switzerland,stephan lichtsteiner,5520,d
germany,1992-03-04,de,germany,bernd leno,4985,g
spain,1987-01-10,es,spain,vicente guaita,7548,g
germany,1995-09-18,de,germany,max meyer,5377,m
brazil,1993-03-05,br,brazil,fred,5906,m
portugal,1999-03-18,pt,portugal,diogo dalot,24252,d
netherlands,1999-12-04,cw,curacao,tahith chong,20858,m
england,2001-03-13,gb-eng,england,james garner,23841,m
spain,1995-07-02,es,spain,marc navarro,22651,d
morocco,1994-01-02,ma,morocco,adam masina,49992,d
sweden,1993-09-30,se,sweden,ken sema,25089,m
portugal,1988-02-15,pt,portugal,rui patrício,11341,g
angola,1994-01-12,ao,angola,hélder costa,5064,f
portugal,1986-09-08,pt,portugal,joão moutinho,11259,m
mexico,1991-05-05,mx,mexico,raúl jiménez,11071,f
,1991-02-03,fr,france,willy boly,16204,d
portugal,1997-03-13,pt,portugal,rúben neves,11180,m
portugal,1996-12-04,pt,portugal,diogo jota,19758,f
spain,1994-03-03,es,spain,jonny,20277,d
brazil,1994-03-28,br,brazil,léo bonatini,12299,f
england,1995-07-16,gb-eng,england,kortney hause,10000,d
england,2000-01-27,gb-eng,england,morgan gibbs-white,15259,m
morocco,1990-03-26,fr,france,romain saïss,20745,m
portugal,1999-04-09,pt,portugal,rúben vinagre,20171,d
brazil,1993-04-15,br,brazil,felipe anderson,6784,m
france,1997-01-09,fr,france,issa diop,49884,d
paraguay,1991-08-23,py,paraguay,fabián balbuena,32435,d
switzerland,1991-12-20,ch,switzerland,fabian schär,5220,d
england,1997-10-30,gb-eng,england,sean longstaff,14897,m
england,1996-11-23,gb-eng,england,james maddison,8456,m
portugal,1993-10-06,pt,portugal,ricardo pereira,5343,d
algeria,1992-05-09,fr,france,rachid ghezzal,6889,m
italy,1991-12-20,br,brazil,jorginho,5682,m
spain,1994-10-03,es,spain,kepa arrizabalaga,11373,g
argentina,1987-12-10,fr,france,gonzalo higuaín,5698,f
croatia,1994-05-06,at,austria,mateo kovacic,12520,m
romania,1993-04-11,ro,romania,florin andone,37587,f
mali,1996-08-30,côte d'ivoire,mali,yves bissouma,50245,m
iran,1993-08-11,ir,iran,alireza jahanbakhsh,15480,f
brazil,1995-05-14,br,brazil,bernardo,23591,d
portugal,1993-10-18,pt,portugal,ivan cavaleiro,5079,f
belgium,1995-04-15,be,belgium,leander dendoncker,5866,m
kosovo,1998-11-07,ch,switzerland,arijanet muric,19911,g
belgium,1997-05-07,be,belgium,youri tielemans,5865,m
turkey,1996-05-23,tr,turkey,çaglar söyüncü,26216,d
colombia,1994-10-25,co,colombia,jefferson lerma,37776,m
wales,1997-11-05,gb-eng,england,chris mepham,14063,d
wales,1997-07-08,gb-eng,england,david brooks,13706,m
spain,1993-02-23,es,spain,diego rico,26076,d
paraguay,1994-02-10,py,paraguay,miguel almirón,54312,m
brazil,1992-09-08,br,brazil,bernard,5907,f
france,1993-07-20,fr,france,lucas digne,5758,d
portugal,1993-07-30,pt,portugal,andré gomes,5061,m
colombia,1994-09-23,co,colombia,yerry mina,32923,d
brazil,1992-10-02,br,brazil,alisson,20559,g
brazil,1993-10-23,br,brazil,fabinho,11247,m
england,1997-05-23,gb-eng,england,maximilian kilman,13522,d
scotland,1992-03-30,gb-sct,scotland,stuart armstrong,12186,m
denmark,1992-08-03,dk,denmark,jannik vestergaard,20109,d
norway,1994-08-04,ma,morocco,mohamed elyounoussi,15967,m
england,1999-11-04,gb-eng,england,ben wilmot,20929,d
england,1992-04-15,gb-eng,england,nathaniel mendez-laing,4006,m
spain,1994-05-28,es,spain,víctor camarasa,22952,m
gabon,1988-07-16,ga,gabon,bruno ecuele manga,10633,d
england,1993-10-12,gb-eng,england,joe ralls,10074,m
england,1986-12-11,gb-eng,england,lee peltier,3138,d
england,1993-06-08,gb-eng,england,kadeem harris,4856,m
denmark,1994-01-31,dk,denmark,kenneth zohore,6627,f
jamaica,1993-02-02,gb-eng,england,bobby de cordova-reid,8192,f
spain,1993-09-01,es,spain,sergio rico,7213,g
,1991-07-19,côte d'ivoire,,jean michael seri,7013,m
france,1989-10-11,fr,france,maxime le marchand,20503,d
belgium,1988-05-27,be,belgium,denis odoi,12536,d
mauritania,1995-03-07,mr,mauritania,aboubakar kamara,11267,f
argentina,1993-12-05,ar,argentina,luciano vietto,12949,f
england,2000-05-18,gb-eng,england,ryan sessegnon,14656,m
ireland,1992-09-30,gb-eng,england,cyrus christie,8438,d
cameroon,1995-11-16,cm,cameroon,andré-frank zambo anguissa,32162,m
,1992-03-10,fr,france,neeskens kebano,20178,m
england,1993-09-17,gb-eng,england,joe bryan,8185,d
england,1997-09-07,gb-eng,england,josh knight,14693,d
,1985-01-13,fr,france,sol bamba,7500,d
scotland,1994-10-13,gb-sct,scotland,callum paterson,22046,f
england,1990-03-05,gb-eng,england,alex smithies,8871,g
england,2000-01-26,gb-eng,england,ryan giles,20081,m
ukraine,1989-10-23,ru,russia,andriy yarmolenko,6389,f
togo,1988-12-15,fr,france,floyd ayité,19606,f
spain,1987-12-31,es,spain,fabri,19771,g
england,1999-11-26,gb-eng,england,anthony driscoll-glennon,23810,d
germany,1992-05-12,de,germany,erik durm,5097,d
belgium,1996-03-08,be,belgium,isaac mbenza,20646,m
guinea,1995-02-10,gn,guinea,naby keita,12316,m
england,2000-09-16,gb-eng,england,oliver skipp,21413,m
ireland,1999-05-18,ie,ireland,mark travers,50453,g
nigeria,1999-11-07,ng,nigeria,nnamdi ofoborh,50463,m
england,2000-07-28,gb-eng,england,emile smith rowe,14445,m
france,1999-02-22,fr,france,yan valery,15011,d
england,2000-10-10,gb-eng,england,kayne ramsay,24001,d
ireland,2000-03-25,gb-eng,england,conor coventry,15211,m
portugal,1997-03-16,pt,portugal,xande silva,24151,f
spain,1991-04-14,es,spain,martín montoya,4955,d
nigeria,1988-06-28,de,germany,leon balogun,20183,d
england,1999-12-05,gb-eng,england,josh benson,14441,m
england,1999-02-08,gb-eng,england,callum slattery,15002,m
england,1999-08-22,gb-eng,england,ali koiki,55603,d
england,1990-08-24,gb-eng,england,gary madine,8335,f
curacao,1997-08-07,nl,netherlands,juninho bacuna,15687,m
england,2001-09-05,gb-eng,england,bukayo saka,49481,m
guinea,1994-02-28,be,belgium,ibrahima cissé,7431,m
norway,1991-01-08,no,norway,stefan johansen,5154,m
france,1996-07-05,fr,france,adama diakhaby,24253,f
england,1997-09-18,gb-eng,england,karlan grant,10654,f
italy,1995-03-18,it,italy,antonio barreca,49956,d
venezuela,1997-05-31,ve,venezuela,adalberto peñaranda,13825,f
england,1993-08-12,gb-eng,england,will norris,8293,g
england,2000-05-18,gb-eng,england,steven sessegnon,14657,m
france,1991-01-08,fr,france,loïc damour,23520,m
sweden,1998-06-04,se,sweden,viktor gyökeres,32728,f
england,2003-04-04,gb-eng,england,harvey elliott,33185,m
england,2001-03-10,gb-eng,england,matty daly,64147,m
croatia,1999-01-17,za,south africa,nikola tavares,24000,d
england,1998-11-03,gb-eng,england,tyreke johnson,15017,m
england,2000-07-09,gb-eng,england,zech medley,21958,d
england,1997-10-07,gb-eng,england,alfie jones,15007,d
england,1998-10-13,gb-eng,england,demeaco duhaney,14771,d
england,2000-09-07,gb-eng,england,aaron rowe,30533,m
england,2001-10-01,gb-eng,england,mason greenwood,25266,f
england,1997-10-08,gb-eng,england,ben white,14548,d
england,1998-09-11,gb-eng,england,sam woods,14149,d
england,1997-04-14,gb-eng,england,callum roberts,10486,m
england,1997-11-15,gb-eng,england,joe tupper,14949,g
nigeria,1998-02-08,ng,nigeria,bright enobakhare,13903,f
england,1999-12-11,gb-eng,england,ryan schofield,24346,g
united states,1998-05-23,us,united states,luca de la torre,14676,m
england,2000-02-27,gb-eng,england,lewis cass,19951,d
england,1999-11-03,gb-eng,england,kelland watts,19967,m
england,2000-07-13,côte d'ivoire,england,marc guehi,14569,d
england,1999-08-24,gb-eng,england,cameron john,15226,d
england,1999-01-04,gb-eng,england,max sanders,14554,m
england,2000-01-29,gb-eng,england,timothy eyoma,15123,d
netherlands,1997-02-10,nl,netherlands,philippe sandler,33238,d
england,1998-11-05,gb-eng,england,george marsh,15136,m
england,1997-02-23,gb-eng,england,luke amos,15128,m
england,1998-10-30,gb-eng,england,joe powell,15200,m
mali,1998-06-15,ml,mali,moussa djenepo,52153,m
scotland,1996-07-13,gb-eng,england,che adams,10905,f
ireland,2000-02-21,gb-eng,england,william smallbone,14997,f
england,1995-12-19,gb-eng,england,josh brownhill,9457,m
brazil,2001-06-18,br,brazil,gabriel martinelli,66104,f
scotland,1997-06-05,gb-sct,scotland,kieran tierney,12185,d
,1995-05-29,fr,france,nicolas pépé,50252,f
england,1995-01-04,gb-eng,england,adam webster,9426,d
ireland,2000-01-28,ie,ireland,aaron connolly,21653,f
colombia,1998-09-08,gb-eng,england,steven alzate,20723,m
france,1996-08-14,fr,france,neal maupay,16256,f
belgium,1994-12-04,be,belgium,leandro trossard,20486,f
england,1997-03-12,gb-eng,england,dean henderson,13988,g
england,1994-03-29,gb-eng,england,jack o'connell,9491,d
northern ireland,1991-04-12,gb-nir,northern ireland,oliver norwood,3924,m
scotland,1991-08-24,gb-sct,scotland,john fleck,8444,m
england,1993-03-09,gb-eng,england,george baldock,9169,d
england,1994-02-18,gb-eng,england,john lundstram,4509,m
ireland,1987-11-29,ie,ireland,david mcgoldrick,2340,f
england,1992-03-22,gb-eng,england,luke freeman,3320,m
france,1997-03-12,fr,france,allan saint-maximin,12817,f
netherlands,1994-03-30,nl,netherlands,jetro willems,7105,d
brazil,1996-08-14,br,brazil,joelinton,20607,f
sweden,1994-08-02,se,sweden,emil krafth,66494,d
scotland,1992-01-08,gb-sct,scotland,kenny mclean,33061,m
germany,1993-01-12,de,germany,christoph zimmermann,22047,d
england,1998-01-15,gb-eng,england,ben godfrey,10968,d
finland,1990-03-29,fi,finland,teemu pukki,5169,f
england,2000-01-04,gb-eng,england,max aarons,19970,d
france,1993-04-06,cm,cameroon,ibrahim amadou,49990,m
cuba,1993-02-01,cu,cuba,onel hernández,33066,m
germany,1993-03-09,de,germany,tom trybull,24412,m
england,1998-02-27,gb-eng,england,todd cantwell,14944,m
germany,1988-09-27,de,germany,ralf fährmann,5361,g
northern ireland,1998-01-25,gb-eng,england,jamal lewis,14938,d
,1989-05-23,hr,croatia,mario vrancic,22040,m
germany,1994-05-05,de,germany,dennis srbeny,33067,f
argentina,1996-12-25,ar,argentina,emiliano buendía,26408,m
germany,1991-02-09,de,germany,marco stiepermann,23199,m
portugal,2000-03-09,pt,portugal,pedro neto,21998,f
italy,1998-01-03,it,italy,patrick cutrone,22870,f
senegal,1998-02-25,sn,senegal,ismaila sarr,49796,f
zimbabwe,1994-01-19,zw,zimbabwe,marvelous nakamba,45351,m
brazil,1998-05-09,br,brazil,douglas luiz,24626,m
